Variable,Average or Total (A/T),Scale Factor,Original Units,Final Units,Group,Long name
BCDEP,A,1.00000E+00, kg/m^2/s, kg/m^2/s,Aerosol Flux, total black carbon deposition (dry+wet) from atmosphere
DSTDEP,A,1.00000E+00, kg/m^2/s, kg/m^2/s,Aerosol Flux, total dust deposition (dry+wet) from atmosphere
DSTFLXT,A,1.00000E+00, kg/m2/s, kg/m^2/s,Aerosol Flux, total surface dust emission
OCDEP,A,1.00000E+00, kg/m^2/s, kg/m^2/s,Aerosol Flux, total OC deposition (dry+wet) from atmosphere
SNOBCMCL,A,1.00000E+00, kg/m2, kg/m^2,Aerosol State, mass of black carbon in snow column
SNOBCMSL,A,1.00000E+00, kg/m2, kg/m^2,Aerosol State, mass of black carbon in top snow layer
SNODSTMCL,A,1.00000E+00, kg/m2, kg/m^2,Aerosol State, mass of dust in snow column
SNODSTMSL,A,1.00000E+00, kg/m2, kg/m^2,Aerosol State, mass of dust in top snow layer
SNOOCMCL,A,1.00000E+00, kg/m2, kg/m^2,Aerosol State, mass of OC in snow column
SNOOCMSL,A,1.00000E+00, kg/m2, kg/m^2,Aerosol State, mass of OC in top snow layer
AGNPP,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, aboveground NPP
AR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, autotrophic respiration (maintenance + growth)
BGNPP,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, belowground NPP
CH4PROD,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, gridcell total production of CH4
DWT_CONV_CFLUX_GRC,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, land conversion C flux
DWT_SLASH_CFLUX,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, slash C flux to litter and CWD due to land use
ER,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total ecosystem respiration (autotrophic + heterotrophic)
FCH4,T,3.15360E-02, kgC/m2/s, PgC/yr,C Flux, gridcell surface CH4 flux to atmosphere (+ to atm)
FCH4TOCO2,T,3.15360E-02, gC/m2/s, PgC/yr,C Flux, gridcell oxidation of CH4 to CO2
FPSN,A,1.00000E+00, umol/m2s, umol/m2s,C Flux, photosynthesis
FPSN_WC,A,1.00000E+00, umol/m2s, umol/m2s,C Flux, Rubisco-limited photosynthesis
FPSN_WJ,A,1.00000E+00, umol/m2s, umol/m2s,C Flux, RuBP-limited photosynthesis
FPSN_WP,A,1.00000E+00, umol/m2s, umol/m2s,C Flux, product-limited photosynthesis
FROOTC_ALLOC,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, fine root C allocation
GPP,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, gross primary production
GR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total growth respiration
HR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total heterotrophic respiration
LAND_USE_FLUX,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total C emitted from land cover conversion and wood product pools
LEAFC_ALLOC,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, leaf C allocation
LITFALL,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, litterfall (leaves and fine roots)
LITHR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, litter heterotrophic respiration
LITTERC_HR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, litter C heterotrophic respiration
LITTERC_LOSS,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, litter C loss
MR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, maintenance respiration
NBP,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, net biome production (positive for sink)
NEE,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, net ecosystem exchange of carbon (positive for source)
NEP,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, net ecosystem production (no fire/landuse/harvest flux: positive for sink
NPP,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, net primary production
PSNSHA,A,1.00000E+00, umolCO2/m^2/s, umolCO2/m^2/s,C Flux, shaded leaf photosynthesis
PSNSHADE_TO_CPOOL,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, C fixation from shaded canopy
PSNSUN,A,1.00000E+00, umolCO2/m^2/s, umolCO2/m^2/s,C Flux, sunlit leaf photosynthesis
PSNSUN_TO_CPOOL,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, C fixation from sunlit canopy
RR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, root respiration (fine root MR + total root GR)
SOILC_HR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, soil C heterotrophic respiration
SOILC_LOSS,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, soil C loss
SOMHR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, soil organic matter heterotrophic respiration
SOM_C_LEACHED,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total flux of C from SOM pools due to leaching
SR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total soil respiration (HR + root resp)
WOODC_ALLOC,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, wood C allocation
WOOD_HARVESTC,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, wood harvest C (to product pools)
XR,T,3.15360E-02, gC/m^2/s, PgC/yr,C Flux, total excess respiration
CPOOL,T,1.00000E-09, gC/m^2, PgC,C State, temporary photosynthate C pool
CWDC,T,1.00000E-09, gC/m^2, PgC,C State, coarse woody debris C
DEADCROOTC,T,1.00000E-09, gC/m^2, PgC,C State, dead coarse root C
DEADSTEMC,T,1.00000E-09, gC/m^2, PgC,C State, dead stem C
DISPVEGC,T,1.00000E-09, gC/m^2, PgC,C State, displayed vegetation carbon (excluding storage and cpool)
FROOTC,T,1.00000E-09, gC/m^2, PgC,C State, fine root C
LEAFC,T,1.00000E-09, gC/m^2, PgC,C State, leaf C
LITR1C,T,1.00000E-09, gC/m^2, PgC,C State, LITR1 C
LITR2C,T,1.00000E-09, gC/m^2, PgC,C State, LITR2 C
LITR3C,T,1.00000E-09, gC/m^2, PgC,C State, LITR3 C
LITTERC,T,1.00000E-09, gC/m^2, PgC,C State, litter C
LIVECROOTC,T,1.00000E-09, gC/m^2, PgC,C State, live coarse root C
LIVESTEMC,T,1.00000E-09, gC/m^2, PgC,C State, live stem C
